police officers&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.025549310168625446&frequency=1200
sector leaseholders&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.779320561428177E-4&frequency=27
local councils&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.528234614708615E-4&frequency=26
council houses&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.528234614708615E-4&frequency=26
rent arrears&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.528234614708615E-4&frequency=26
spare bedrooms&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.528234614708615E-4&frequency=26
council mortgage lenders&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.528234614708615E-4&frequency=26
homes rent&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.277148667989052E-4&frequency=25
bedroom properties&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.277148667989052E-4&frequency=25
affordable rent&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.277148667989052E-4&frequency=25
private rented accommodation&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.02606272126949E-4&frequency=24
landlord tenant&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=6.02606272126949E-4&frequency=24
security tenure&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.774976774549929E-4&frequency=23
welwyn hatfield&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.774976774549929E-4&frequency=23
home buyers&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.523890827830366E-4&frequency=22
temporary accommodation&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.523890827830366E-4&frequency=22
housing local&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.523890827830366E-4&frequency=22
social rented sector&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.272804881110804E-4&frequency=21
borough council&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.272804881110804E-4&frequency=21
mortgage lenders&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.272804881110804E-4&frequency=21
people housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.021718934391243E-4&frequency=20
housing waiting&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.021718934391243E-4&frequency=20
property ladder&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.021718934391243E-4&frequency=20
local communities&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.021718934391243E-4&frequency=20
deemed supply&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.021718934391243E-4&frequency=20
rough sleepers&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.021718934391243E-4&frequency=20
homes communities&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.021718934391243E-4&frequency=20
empty property&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=5.021718934391243E-4&frequency=20
council tenants&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.77063298767168E-4&frequency=19
market rents&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.77063298767168E-4&frequency=19
occupancy penalty&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.77063298767168E-4&frequency=19
social housing tenants&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.77063298767168E-4&frequency=19
people live&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.77063298767168E-4&frequency=19
housing london&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.77063298767168E-4&frequency=19
housing built&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.77063298767168E-4&frequency=19
chartered surveyors&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.77063298767168E-4&frequency=19
registered social landlords&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.77063298767168E-4&frequency=19
build housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.519547040952118E-4&frequency=18
housing strategy&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.519547040952118E-4&frequency=18
rough sleeping&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.519547040952118E-4&frequency=18
hammersmith fulham&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.519547040952118E-4&frequency=18
market rent&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.519547040952118E-4&frequency=18
affordable home&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
housing shortage&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
housing policy&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
housing corporation&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
long term&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
bedroom flat&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
social housing sector&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
rented homes&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
local people&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
city council&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.268461094232556E-4&frequency=17
owner occupiers&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.0173751475129936E-4&frequency=16
living standards&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.0173751475129936E-4&frequency=16
birmingham erdington&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.0173751475129936E-4&frequency=16
private rents&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.0173751475129936E-4&frequency=16
institution chartered surveyors&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=4.0173751475129936E-4&frequency=16
private sector tenants&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
property market&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
entry register&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
bedroom property&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
term tenancies&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
number people&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
home residents&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
property federation&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
social affordable housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
discretionary housing payments&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
bolton south&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
house prices&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
sheltered housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
rented properties&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
housing sector&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.7662892007934317E-4&frequency=15
jeremy corbyn&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
residential property&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
supply affordable housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
labour government&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
bedroom house&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
homes homes&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
government housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
decent housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
living overcrowded accommodation&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
affordable houses&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
waiting list&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
housing rent&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
shared ownership&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
shared accommodation&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
housing tenants&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
greenwich woolwich&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
number homes&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.5152032540738693E-4&frequency=14
homes people&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
people homes&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
homes country&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
bedroom houses&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
affected bedroom&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
tenants housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
building affordable homes&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
buying homes&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
london borough&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
councils housing associations&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
social landlord&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
private housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
stay home&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
council tax&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
register landlords&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
older people&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
affordable social housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.2641173073543075E-4&frequency=13
housing regeneration&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.013031360634745E-4&frequency=12
buy property&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.013031360634745E-4&frequency=12
sector housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.013031360634745E-4&frequency=12
owner occupation&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.013031360634745E-4&frequency=12
million homes&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=3.013031360634745E-4&frequency=12
housing survey&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
housing affordable&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
empty bedroom&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
rents housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
hillingdon homes&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
federation housing associations&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
building affordable housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
homes affordable&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
private tenants&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
housing act&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
mortgage market&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
heidi alexander&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
decent homes standard&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
sheltered accommodation&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
social sector&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
flexible tenancies&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
vulnerable people&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
market housing&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
people move&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
residential properties&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
firstbuy scheme&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
monoxide poisoning&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.761945413915183E-4&frequency=11
ken livingstone&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.5108594671956213E-4&frequency=10
prime minister&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.5108594671956213E-4&frequency=10
housing waiting list&titleId=26&totalTokens=265748&title=social housing, affordable housing, housing associations, housing benefit, local authorities, affordable homes, housing market, private rented sector, private sector, housing stock&weight=2.5108594671956213E-4&frequency=10
electoral commission&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.015652037124429762&frequency=796
general election&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.00641025641025641&frequency=326
political parties&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.004483246814535158&frequency=228
house lords&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.004463583451313513&frequency=227
electoral registration&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.004168633002988831&frequency=212
electoral register&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.003971999370772377&frequency=202
liberal democrats&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.002929841120025169&frequency=149
northern ireland&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.002792197577473651&frequency=142
boundary commission&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.00275287085103036&frequency=140
political constitutional reform&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.0023596035865974517&frequency=120
year olds&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.00228095013371087&frequency=116
hon gentleman&titleId=27&totalTokens=299733&title=electoral commission, general election, political parties, house lords, electoral registration, electoral register, liberal democrats, northern ireland, boundary commission, political constitutional reform&weight=0.0020843165014944156&frequency=106
